Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
865.616: [GC (Allocation Failure) [PSYoungGen: 1553857K->6241K(1560064K)] 1645916K->98420K(2084352K), 0.0033577 secs] [Times: user=0.04 sys=0.00, real=0.00 secs] 
878.900: [GC (Allocation Failure) [PSYoungGen: 1554017K->6177K(1561088K)] 1646196K->98580K(2085376K), 0.0064311 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
892.126: [GC (Allocation Failure) [PSYoungGen: 1555489K->6145K(1561088K)] 1647892K->98684K(2085376K), 0.0032436 secs] [Times: user=0.05 sys=0.00, real=0.00 secs] 
905.373: [GC (Allocation Failure) [PSYoungGen: 1555457K->6433K(1562112K)] 1647996K->99052K(2086400K), 0.0071053 secs] [Times: user=0.10 sys=0.01, real=0.01 secs] 
918.685: [GC (Allocation Failure) [PSYoungGen: 1557281K->6209K(1561600K)] 1649900K->98964K(2085888K), 0.0045011 secs] [Times: user=0.05 sys=0.00, real=0.01 secs] 
931.955: [GC (Allocation Failure) [PSYoungGen: 1557057K->6433K(1562624K)] 1649812K->99316K(2086912K), 0.0059200 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
1041.615: [GC (Allocation Failure) [PSYoungGen: 1558305K->6287K(1562112K)] 1651188K->99331K(2086400K), 0.0109172 secs] [Times: user=0.24 sys=0.01, real=0.01 secs] 
1119.144: [GC (Allocation Failure) [PSYoungGen: 1558159K->4815K(1563136K)] 1651203K->99563K(2087424K), 0.0119295 secs] [Times: user=0.26 sys=0.00, real=0.01 secs] 
1167.585: [GC (Allocation Failure) [PSYoungGen: 1558223K->4975K(1563136K)] 1652971K->99947K(2087424K), 0.0103624 secs] [Times: user=0.23 sys=0.00, real=0.01 secs] 
1208.227: [GC (Allocation Failure) [PSYoungGen: 1558383K->4943K(1563136K)] 1653355K->100147K(2087424K), 0.0090832 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
1241.054: [GC (Allocation Failure) [PSYoungGen: 1558302K->4416K(1563136K)] 1653506K->100091K(2087424K), 0.0091724 secs] [Times: user=0.15 sys=0.01, real=0.01 secs] 
