Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
418.655: [GC (Allocation Failure) [PSYoungGen: 21890389K->755502K(22609920K)] 22359567K->1226128K(25755648K), 0.1346323 secs] [Times: user=4.68 sys=0.00, real=0.14 secs] 
421.704: [GC (Allocation Failure) [PSYoungGen: 21858094K->830824K(22609920K)] 22328720K->1305066K(25755648K), 0.1470284 secs] [Times: user=5.15 sys=0.00, real=0.15 secs] 
424.778: [GC (Allocation Failure) [PSYoungGen: 21933416K->714954K(22609920K)] 22407658K->1190452K(25755648K), 0.1273939 secs] [Times: user=4.49 sys=0.00, real=0.13 secs] 
427.860: [GC (Allocation Failure) [PSYoungGen: 21817546K->749949K(22609920K)] 22293044K->1226624K(25755648K), 0.1328058 secs] [Times: user=4.67 sys=0.00, real=0.13 secs] 
438.855: [GC (System.gc()) [PSYoungGen: 12947720K->862468K(22609920K)] 13424394K->1340271K(25755648K), 0.1328658 secs] [Times: user=4.68 sys=0.00, real=0.14 secs] 
438.988: [Full GC (System.gc()) [PSYoungGen: 862468K->0K(22609920K)] [ParOldGen: 477802K->236884K(3145728K)] 1340271K->236884K(25755648K), [Metaspace: 22250K->22250K(1069056K)], 0.0780696 secs] [Times: user=1.33 sys=0.03, real=0.07 secs] 
459.944: [GC (Allocation Failure) [PSYoungGen: 21102592K->956598K(22609920K)] 21339476K->1193490K(25755648K), 0.1568010 secs] [Times: user=5.52 sys=0.01, real=0.16 secs] 
467.931: [GC (Allocation Failure) [PSYoungGen: 22059190K->966841K(22609920K)] 22296082K->1203742K(25755648K), 0.1467020 secs] [Times: user=5.17 sys=0.01, real=0.15 secs] 
473.926: [GC (Allocation Failure) [PSYoungGen: 22069433K->970262K(22609920K)] 22306334K->1207162K(25755648K), 0.1468007 secs] [Times: user=5.10 sys=0.01, real=0.15 secs] 
478.672: [GC (Allocation Failure) [PSYoungGen: 22072854K->986885K(22609920K)] 22309754K->1223785K(25755648K), 0.1484304 secs] [Times: user=5.24 sys=0.00, real=0.15 secs] 
482.979: [GC (Allocation Failure) [PSYoungGen: 22089477K->990933K(22609920K)] 22326377K->1227834K(25755648K), 0.1475461 secs] [Times: user=5.20 sys=0.00, real=0.15 secs] 
486.732: [GC (Allocation Failure) [PSYoungGen: 22093525K->988317K(22609920K)] 22330426K->1225217K(25755648K), 0.1493268 secs] [Times: user=5.26 sys=0.01, real=0.15 secs] 
490.147: [GC (Allocation Failure) [PSYoungGen: 22090909K->966950K(22609920K)] 22327809K->1203850K(25755648K), 0.1433375 secs] [Times: user=5.06 sys=0.00, real=0.14 secs] 
493.188: [GC (Allocation Failure) [PSYoungGen: 22069542K->1054389K(22609920K)] 22306442K->1291290K(25755648K), 0.1583624 secs] [Times: user=5.60 sys=0.01, real=0.16 secs] 
496.301: [GC (Allocation Failure) [PSYoungGen: 22156981K->1093894K(22609920K)] 22393882K->1330795K(25755648K), 0.1662643 secs] [Times: user=5.72 sys=0.00, real=0.17 secs] 
499.428: [GC (Allocation Failure) [PSYoungGen: 22196486K->1054377K(22609920K)] 22433387K->1291277K(25755648K), 0.1610544 secs] [Times: user=5.57 sys=0.00, real=0.16 secs] 
502.674: [GC (Allocation Failure) [PSYoungGen: 22156969K->1008910K(22609920K)] 22393869K->1245810K(25755648K), 0.1498581 secs] [Times: user=5.28 sys=0.00, real=0.15 secs] 
505.828: [GC (Allocation Failure) [PSYoungGen: 22111502K->1070192K(22609920K)] 22348402K->1307093K(25755648K), 0.1596943 secs] [Times: user=5.64 sys=0.00, real=0.16 secs] 
