Request Mix Accuracy
===================================
Domain Marker;max-jOPS;79902.0
Domain Marker;critical-jOPS;20604.0
Domain Marker;Validation Start jOPS;9864.5
Range Marker;Main Tx Limit;-5.0
Range Marker;Main Tx Limit;5.0
Range Marker;Minor Tx Limit;-1.0
Range Marker;Minor Tx Limit;1.0
jOPS;In-store Purchase [50%];Online Purchase [35%];Installment Purchase [10%];Associativity of Category [0.1%];Associativity of Product [1%];Business Report [0.25%];Customer Buying Behavior [1%];Product Return [2.65%]
60173.0;0.20965721503169021;-0.14975300600695363;-0.04739802836665774;1.2051087426825924E-4;0.00631636605458219;-0.0020903539094695167;-0.02364052171997355;0.0067878180425196
61160.0;0.06554607081049824;-0.06009663270022969;0.01894341480293349;0.0010206303665504374;0.0147088439168499;5.049667112190792E-4;0.003275120490705996;-0.04390241439852316
62146.0;0.48255585492690045;-0.456918290042573;-0.06419819475622113;-1.5444444237799893E-4;-0.02378253117251039;5.969345448352259E-4;-0.010524699287663863;0.07242537022960471
63133.0;-0.016590457400091907;0.056963197557799106;-0.0915167986591019;6.461477430804025E-4;0.02992193421351641;0.001602233603623382;0.022802355503421134;-0.0038286125622470912
64119.0;0.044082858315078965;-0.1649653986790014;0.1345130525826086;-2.4082539953146354E-5;-0.008816058176022379;0.0021477877183154193;-0.027481310357186706;0.020543151136167115
65106.0;0.1524867072839058;-0.18867282391921236;0.02412407775687697;2.8967758168801927E-4;-0.004853112842202911;0.0031715272149831497;7.80852268512211E-4;0.012673094655457628
66092.0;-0.09648365145062598;0.07543948116009602;0.09551007773611708;2.0320230861786692E-4;0.0019072059432931887;0.0017811406289785503;0.001707498514676109;-0.08006495484115783
67079.0;0.21457743195318812;-0.09271457068692968;-0.07962310308620069;-1.9825448733812312E-4;-0.005146571703347647;-0.002715360467275274;0.004615309523990474;-0.0387948810460812
68065.0;0.14373681495840884;0.14692689222916755;-0.24420591520994606;3.2243003219410704E-4;-0.003986985462536841;9.28300263273063E-4;-0.006138148679601385;-0.03758338813095685
69051.0;-0.1715056470963674;0.32705761385690835;-0.1256322464062407;2.4205254441850288E-4;-0.021541051939526046;0.003949718433548299;-0.00527202482256961;-0.007298414570167999
70038.0;0.003881662317148482;0.10038120764195213;-0.11094453625259604;9.481670269827214E-5;0.029445248916329714;9.82604945711174E-4;-0.013797416043667798;-0.01004358822758089
71024.0;0.06913783788819217;-0.07640324894278905;0.035954470090723945;-3.073827753871661E-5;0.0073073268876096;-0.006259431062426629;-0.01809832522960564;-0.011607891354160849
72011.0;-0.14489531900460406;0.0630858978869;0.026412313982255853;2.178299734501704E-4;0.039304502468777924;7.476804717321262E-5;0.018747586510354575;-0.002947579864305716
72997.0;0.060164830636402655;0.060775623906700105;-0.061253194245582065;3.009935043658818E-5;0.008926613809527861;-7.602174649843918E-4;-0.023182370677226283;-0.04470138531526535
73984.0;0.15090581585725715;-0.06140436976989605;-0.0659198912868586;3.050834239799044E-4;-0.0020361304468058394;0.001345356497622574;-0.002686006992671741;-0.020509857282628552
74970.0;-0.03118856797217262;-0.11465260463006643;0.04616963064295554;3.133363107902243E-4;0.02634346020347511;-0.005942312358673346;0.014694453138462293;0.0642626046652297
75957.0;0.11866266715787788;-0.058504165087988724;-0.10276531811285139;-3.9058066791564094E-4;0.005173404197738263;-0.0019367528202298978;0.015474816538830094;0.024285928794542944
76943.0;-0.00777732927797814;-0.07475663172652958;0.05595820553231512;1.2597987921345033E-5;0.009210243278287678;0.0023025608195719194;0.01692329710769047;-0.0018729437212741118
77930.0;-0.09763244991995634;0.06448708553562454;-0.05687474297557671;-3.144274200915509E-5;0.02864488516664432;0.004277917640220119;-0.017993077545715108;0.07512182484077634
78916.0;-0.021199247170237356;-0.04427344997909444;0.0804566391121817;6.048223733399888E-4;-0.005551166817033049;0.004767841548137586;-0.015077742088598023;2.723030213065414E-4
79902.0;-0.20341717441703366;0.28994812093868916;-0.07489740303690695;-5.228039818470365E-4;0.013396499297346987;-0.005811598259284956;-0.0021134984848487637;-0.016582142056111415
80889.0;-0.04034896877478644;-0.09302504556144697;0.10641375308996359;3.4708027384355855E-4;0.003061445598346424;0.0019456744868435183;4.1426942577027503E-4;0.021191791461465215
81875.0;-0.07955336425160198;-4.5053026505570415E-4;-0.0010099134800469756;-9.438155498858042E-4;-0.012522322413971443;-0.004052806984972845;0.017291291098791906;0.08124146184673853
82862.0;0.052275231140818335;-0.21039463409094594;0.11499380073126808;-0.0011863491985440178;0.031513827471834066;-0.009405151188398048;-0.010575636347032624;0.032778911480999096
83848.0;-0.07584530626748176;0.18277833456692605;-0.17387167564415407;6.942354025821634E-4;0.0332078491923804;-0.0019238737414696006;0.01172326438198179;0.023237172109231707
