Java HotSpot(TM) 64-Bit Server VM (25.20-b20) for linux-amd64 JRE (1.8.0_20-ea-b20), built on Jun 24 2014 21:14:09 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
1298.084: [GC (Allocation Failure) [PSYoungGen: 1559360K->5024K(1564160K)] 1655199K->100975K(2088448K), 0.0074713 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
1321.297: [GC (Allocation Failure) [PSYoungGen: 1559968K->5103K(1563648K)] 1655919K->101182K(2087936K), 0.0088616 secs] [Times: user=0.14 sys=0.00, real=0.01 secs] 
1343.368: [GC (Allocation Failure) [PSYoungGen: 1560047K->4800K(1564160K)] 1656126K->101430K(2088448K), 0.0090219 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
1365.426: [GC (Allocation Failure) [PSYoungGen: 1560256K->4960K(1564160K)] 1656886K->101726K(2088448K), 0.0074928 secs] [Times: user=0.13 sys=0.01, real=0.01 secs] 
1384.996: [GC (Allocation Failure) [PSYoungGen: 1560416K->5231K(1564672K)] 1657182K->102092K(2088960K), 0.0065569 secs] [Times: user=0.15 sys=0.01, real=0.00 secs] 
1403.885: [GC (Allocation Failure) [PSYoungGen: 1561711K->4960K(1564672K)] 1658572K->102428K(2088960K), 0.0088993 secs] [Times: user=0.19 sys=0.00, real=0.01 secs] 
1422.933: [GC (Allocation Failure) [PSYoungGen: 1561440K->4896K(1565184K)] 1658908K->102500K(2089472K), 0.0069750 secs] [Times: user=0.11 sys=0.00, real=0.00 secs] 
1440.936: [GC (Allocation Failure) [PSYoungGen: 1561888K->5199K(1564672K)] 1659492K->102859K(2088960K), 0.0074913 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
1457.552: [GC (Allocation Failure) [PSYoungGen: 1562191K->4864K(1565184K)] 1659851K->103179K(2089472K), 0.0065828 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
1474.186: [GC (Allocation Failure) [PSYoungGen: 1562368K->4864K(1565184K)] 1660683K->103379K(2089472K), 0.0052328 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
1490.766: [GC (Allocation Failure) [PSYoungGen: 1562368K->4832K(1565696K)] 1660883K->103411K(2089984K), 0.0054223 secs] [Times: user=0.08 sys=0.01, real=0.01 secs] 
1506.580: [GC (Allocation Failure) [PSYoungGen: 1563360K->5263K(1565696K)] 1661939K->103938K(2089984K), 0.0100018 secs] [Times: user=0.18 sys=0.01, real=0.01 secs] 
1521.327: [GC (Allocation Failure) [PSYoungGen: 1563791K->4608K(1565696K)] 1662466K->104042K(2089984K), 0.0054006 secs] [Times: user=0.10 sys=0.01, real=0.00 secs] 
1536.134: [GC (Allocation Failure) [PSYoungGen: 1563136K->4928K(1565696K)] 1662570K->104450K(2089984K), 0.0057657 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
1550.937: [GC (Allocation Failure) [PSYoungGen: 1563456K->4992K(1566208K)] 1662978K->104586K(2090496K), 0.0068163 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
1565.620: [GC (Allocation Failure) [PSYoungGen: 1564032K->5519K(1565696K)] 1663626K->105264K(2089984K), 0.0084717 secs] [Times: user=0.16 sys=0.01, real=0.01 secs] 
1578.963: [GC (Allocation Failure) [PSYoungGen: 1564559K->5088K(1566208K)] 1664304K->105648K(2090496K), 0.0074450 secs] [Times: user=0.11 sys=0.02, real=0.01 secs] 
1592.295: [GC (Allocation Failure) [PSYoungGen: 1564640K->4992K(1566208K)] 1665200K->105696K(2090496K), 0.0066895 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
1605.645: [GC (Allocation Failure) [PSYoungGen: 1564544K->5024K(1566208K)] 1665248K->105840K(2090496K), 0.0058698 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
1618.973: [GC (Allocation Failure) [PSYoungGen: 1564576K->5088K(1566208K)] 1665392K->106008K(2090496K), 0.0066160 secs] [Times: user=0.11 sys=0.00, real=0.00 secs] 
1631.988: [GC (Allocation Failure) [PSYoungGen: 1564640K->5583K(1565696K)] 1665560K->106583K(2089984K), 0.0069063 secs] [Times: user=0.16 sys=0.01, real=0.01 secs] 
1644.125: [GC (Allocation Failure) [PSYoungGen: 1565135K->4864K(1566208K)] 1666135K->106671K(2090496K), 0.0062153 secs] [Times: user=0.10 sys=0.00, real=0.00 secs] 
1656.294: [GC (Allocation Failure) [PSYoungGen: 1564416K->5184K(1566720K)] 1666223K->107143K(2091008K), 0.0061202 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
1668.450: [GC (Allocation Failure) [PSYoungGen: 1565248K->5120K(1566208K)] 1667207K->107143K(2090496K), 0.0066430 secs] [Times: user=0.08 sys=0.00, real=0.00 secs] 
1680.568: [GC (Allocation Failure) [PSYoungGen: 1565184K->5120K(1566720K)] 1667207K->107335K(2091008K), 0.0056371 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
1692.717: [GC (Allocation Failure) [PSYoungGen: 1565696K->5216K(1566720K)] 1667911K->107503K(2091008K), 0.0048133 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
1703.993: [GC (Allocation Failure) [PSYoungGen: 1565792K->5647K(1566720K)] 1668079K->108029K(2091008K), 0.0084871 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1715.135: [GC (Allocation Failure) [PSYoungGen: 1566188K->5216K(1566720K)] 1668571K->108477K(2091008K), 0.0065866 secs] [Times: user=0.09 sys=0.02, real=0.00 secs] 
1726.243: [GC (Allocation Failure) [PSYoungGen: 1565792K->5184K(1566720K)] 1669053K->108621K(2091008K), 0.0057680 secs] [Times: user=0.10 sys=0.00, real=0.01 secs] 
1737.436: [GC (Allocation Failure) [PSYoungGen: 1565760K->5184K(1566720K)] 1669197K->108725K(2091008K), 0.0055667 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
1748.596: [GC (Allocation Failure) [PSYoungGen: 1565760K->5216K(1566720K)] 1669301K->108845K(2091008K), 0.0045222 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
1759.684: [GC (Allocation Failure) [PSYoungGen: 1565792K->5248K(1566720K)] 1669421K->108965K(2091008K), 0.0065856 secs] [Times: user=0.07 sys=0.00, real=0.00 secs] 
1769.902: [GC (Allocation Failure) [PSYoungGen: 1565824K->5807K(1566720K)] 1669541K->109644K(2091008K), 0.0087343 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1780.143: [GC (Allocation Failure) [PSYoungGen: 1566383K->5152K(1566720K)] 1670220K->109884K(2091008K), 0.0062611 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
1790.406: [GC (Allocation Failure) [PSYoungGen: 1565728K->5120K(1566720K)] 1670460K->109940K(2091008K), 0.0053150 secs] [Times: user=0.06 sys=0.00, real=0.01 secs] 
1800.703: [GC (Allocation Failure) [PSYoungGen: 1565696K->5056K(1566720K)] 1670516K->109900K(2091008K), 0.0073672 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
1811.006: [GC (Allocation Failure) [PSYoungGen: 1565632K->5120K(1566720K)] 1670476K->110076K(2091008K), 0.0049395 secs] [Times: user=0.09 sys=0.01, real=0.01 secs] 
1821.286: [GC (Allocation Failure) [PSYoungGen: 1565696K->5216K(1566720K)] 1670652K->110340K(2091008K), 0.0048237 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
1831.406: [GC (Allocation Failure) [PSYoungGen: 1565792K->5871K(1566720K)] 1670916K->111043K(2091008K), 0.0075141 secs] [Times: user=0.19 sys=0.00, real=0.01 secs] 
1841.486: [GC (Allocation Failure) [PSYoungGen: 1566447K->5088K(1566720K)] 1671619K->111259K(2091008K), 0.0048512 secs] [Times: user=0.08 sys=0.00, real=0.00 secs] 
1851.640: [GC (Allocation Failure) [PSYoungGen: 1565664K->5184K(1566720K)] 1671835K->111603K(2091008K), 0.0064485 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
1861.743: [GC (Allocation Failure) [PSYoungGen: 1565760K->5088K(1566720K)] 1672179K->111635K(2091008K), 0.0073362 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
1871.865: [GC (Allocation Failure) [PSYoungGen: 1565664K->5344K(1566720K)] 1672211K->111995K(2091008K), 0.0057917 secs] [Times: user=0.08 sys=0.00, real=0.01 secs] 
1881.954: [GC (Allocation Failure) [PSYoungGen: 1565916K->5376K(1566720K)] 1672566K->112251K(2091008K), 0.0066863 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
1892.070: [GC (Allocation Failure) [PSYoungGen: 1565952K->6063K(1566720K)] 1672827K->113025K(2091008K), 0.0098563 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
1902.157: [GC (Allocation Failure) [PSYoungGen: 1566639K->5408K(1566720K)] 1673601K->113289K(2091008K), 0.0052184 secs] [Times: user=0.10 sys=0.00, real=0.00 secs] 
1912.216: [GC (Allocation Failure) [PSYoungGen: 1565947K->5504K(1566720K)] 1673828K->113489K(2091008K), 0.0052002 secs] [Times: user=0.10 sys=0.00, real=0.00 secs] 
1922.254: [GC (Allocation Failure) [PSYoungGen: 1566080K->5408K(1566720K)] 1674065K->113529K(2091008K), 0.0062606 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
