Java HotSpot(TM) 64-Bit Server VM (25.20-b20) for linux-amd64 JRE (1.8.0_20-ea-b20), built on Jun 24 2014 21:14:09 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
379.340: [GC (Allocation Failure) [PSYoungGen: 22055656K->948604K(22609920K)] 22182441K->1075389K(25755648K), 0.1447877 secs] [Times: user=4.92 sys=0.00, real=0.15 secs] 
383.087: [GC (Allocation Failure) [PSYoungGen: 22051196K->962895K(22609920K)] 22177981K->1089679K(25755648K), 0.1415414 secs] [Times: user=4.99 sys=0.00, real=0.14 secs] 
386.800: [GC (Allocation Failure) [PSYoungGen: 22065487K->1032133K(22609920K)] 22192271K->1158918K(25755648K), 0.1546274 secs] [Times: user=5.44 sys=0.00, real=0.16 secs] 
390.329: [GC (Allocation Failure) [PSYoungGen: 22134725K->954714K(22609920K)] 22261510K->1081498K(25755648K), 0.1441982 secs] [Times: user=5.01 sys=0.00, real=0.14 secs] 
393.439: [GC (Allocation Failure) [PSYoungGen: 22057306K->1034418K(22609920K)] 22184090K->1161203K(25755648K), 0.1528729 secs] [Times: user=5.40 sys=0.00, real=0.15 secs] 
396.523: [GC (Allocation Failure) [PSYoungGen: 22137010K->1046835K(22609920K)] 22263795K->1173619K(25755648K), 0.1563961 secs] [Times: user=5.49 sys=0.01, real=0.16 secs] 
399.755: [GC (Allocation Failure) [PSYoungGen: 22149427K->1176409K(22609920K)] 22276211K->1303194K(25755648K), 0.1769694 secs] [Times: user=6.24 sys=0.00, real=0.17 secs] 
402.965: [GC (Allocation Failure) [PSYoungGen: 22279001K->1084575K(22609920K)] 22405786K->1211360K(25755648K), 0.1620716 secs] [Times: user=5.67 sys=0.01, real=0.17 secs] 
406.208: [GC (Allocation Failure) [PSYoungGen: 22187167K->1054554K(22609920K)] 22313952K->1181338K(25755648K), 0.1563730 secs] [Times: user=5.49 sys=0.00, real=0.15 secs] 
409.331: [GC (Allocation Failure) [PSYoungGen: 22157146K->1066702K(22609920K)] 22283930K->1193486K(25755648K), 0.1582050 secs] [Times: user=5.59 sys=0.00, real=0.16 secs] 
412.531: [GC (Allocation Failure) [PSYoungGen: 22169294K->1109452K(22609920K)] 22296078K->1236236K(25755648K), 0.1655292 secs] [Times: user=5.87 sys=0.00, real=0.17 secs] 
415.725: [GC (Allocation Failure) [PSYoungGen: 22212044K->761202K(22609920K)] 22338828K->1220790K(25755648K), 0.1710960 secs] [Times: user=5.92 sys=0.00, real=0.17 secs] 
418.981: [GC (Allocation Failure) [PSYoungGen: 21863794K->803368K(22609920K)] 22323382K->1271012K(25755648K), 0.1381405 secs] [Times: user=4.87 sys=0.00, real=0.14 secs] 
422.124: [GC (Allocation Failure) [PSYoungGen: 21905960K->729700K(22609920K)] 22373604K->1199385K(25755648K), 0.1280982 secs] [Times: user=4.49 sys=0.00, real=0.13 secs] 
425.236: [GC (Allocation Failure) [PSYoungGen: 21832292K->751474K(22609920K)] 22301977K->1222687K(25755648K), 0.1305710 secs] [Times: user=4.62 sys=0.00, real=0.13 secs] 
428.336: [GC (Allocation Failure) [PSYoungGen: 21854066K->751244K(22609920K)] 22325279K->1223825K(25755648K), 0.1307427 secs] [Times: user=4.62 sys=0.00, real=0.13 secs] 
431.452: [GC (Allocation Failure) [PSYoungGen: 21853836K->712266K(22609920K)] 22326417K->1188279K(25755648K), 0.1261562 secs] [Times: user=4.41 sys=0.01, real=0.12 secs] 
434.548: [GC (Allocation Failure) [PSYoungGen: 21814858K->738726K(22609920K)] 22290871K->1215627K(25755648K), 0.1303753 secs] [Times: user=4.58 sys=0.00, real=0.13 secs] 
437.704: [GC (Allocation Failure) [PSYoungGen: 21841318K->716422K(22609920K)] 22318219K->1194355K(25755648K), 0.1257214 secs] [Times: user=4.44 sys=0.00, real=0.12 secs] 
440.821: [GC (Allocation Failure) [PSYoungGen: 21819014K->746564K(22609920K)] 22296947K->1225530K(25755648K), 0.1333969 secs] [Times: user=4.63 sys=0.00, real=0.14 secs] 
443.999: [GC (Allocation Failure) [PSYoungGen: 21849156K->762408K(22609920K)] 22328122K->1242214K(25755648K), 0.1349591 secs] [Times: user=4.73 sys=0.00, real=0.14 secs] 
456.881: [GC (System.gc()) [PSYoungGen: 9255019K->834337K(22609920K)] 9734824K->1314935K(25755648K), 0.1256445 secs] [Times: user=4.43 sys=0.00, real=0.13 secs] 
457.007: [Full GC (System.gc()) [PSYoungGen: 834337K->0K(22609920K)] [ParOldGen: 480597K->230373K(3145728K)] 1314935K->230373K(25755648K), [Metaspace: 22110K->22110K(1069056K)], 0.0952646 secs] [Times: user=1.67 sys=0.01, real=0.09 secs] 
477.637: [GC (Allocation Failure) [PSYoungGen: 21102592K->951517K(22609920K)] 21332965K->1181899K(25755648K), 0.1529226 secs] [Times: user=5.38 sys=0.00, real=0.15 secs] 
484.606: [GC (Allocation Failure) [PSYoungGen: 22054109K->960670K(22609920K)] 22284491K->1191052K(25755648K), 0.1465315 secs] [Times: user=4.99 sys=0.00, real=0.15 secs] 
489.840: [GC (Allocation Failure) [PSYoungGen: 22063262K->950431K(22609920K)] 22293644K->1180813K(25755648K), 0.1442443 secs] [Times: user=4.92 sys=0.01, real=0.14 secs] 
494.323: [GC (Allocation Failure) [PSYoungGen: 22053023K->978353K(22609920K)] 22283405K->1208735K(25755648K), 0.1481675 secs] [Times: user=5.02 sys=0.00, real=0.15 secs] 
498.154: [GC (Allocation Failure) [PSYoungGen: 22080945K->1000545K(22609920K)] 22311327K->1230927K(25755648K), 0.1540802 secs] [Times: user=5.18 sys=0.00, real=0.15 secs] 
502.047: [GC (Allocation Failure) [PSYoungGen: 22103137K->958942K(22609920K)] 22333519K->1189324K(25755648K), 0.1458985 secs] [Times: user=5.06 sys=0.00, real=0.15 secs] 
505.318: [GC (Allocation Failure) [PSYoungGen: 22061534K->1009098K(22609920K)] 22291916K->1239480K(25755648K), 0.1514455 secs] [Times: user=5.28 sys=0.00, real=0.15 secs] 
508.713: [GC (Allocation Failure) [PSYoungGen: 22111690K->1005431K(22609920K)] 22342072K->1235813K(25755648K), 0.1491147 secs] [Times: user=5.20 sys=0.00, real=0.15 secs] 
511.872: [GC (Allocation Failure) [PSYoungGen: 22108023K->1044867K(22609920K)] 22338405K->1275249K(25755648K), 0.1553382 secs] [Times: user=5.47 sys=0.01, real=0.15 secs] 
514.997: [GC (Allocation Failure) [PSYoungGen: 22147459K->1049205K(22609920K)] 22377841K->1279587K(25755648K), 0.1593764 secs] [Times: user=5.42 sys=0.00, real=0.16 secs] 
518.220: [GC (Allocation Failure) [PSYoungGen: 22151797K->1048433K(22609920K)] 22382179K->1278815K(25755648K), 0.1560224 secs] [Times: user=5.46 sys=0.00, real=0.16 secs] 
521.479: [GC (Allocation Failure) [PSYoungGen: 22151025K->1006096K(22609920K)] 22381407K->1236478K(25755648K), 0.1507137 secs] [Times: user=5.26 sys=0.00, real=0.15 secs] 
524.583: [GC (Allocation Failure) [PSYoungGen: 22108688K->1109580K(22609920K)] 22339070K->1339961K(25755648K), 0.1657886 secs] [Times: user=5.86 sys=0.00, real=0.17 secs] 
527.666: [GC (Allocation Failure) [PSYoungGen: 22212172K->1131609K(22609920K)] 22442553K->1361991K(25755648K), 0.1687619 secs] [Times: user=5.98 sys=0.00, real=0.17 secs] 
530.880: [GC (Allocation Failure) [PSYoungGen: 22234201K->1120046K(22609920K)] 22464583K->1350428K(25755648K), 0.1680365 secs] [Times: user=5.89 sys=0.01, real=0.17 secs] 
534.150: [GC (Allocation Failure) [PSYoungGen: 22222638K->790555K(22609920K)] 22453020K->1379209K(25755648K), 0.1800623 secs] [Times: user=6.29 sys=0.01, real=0.18 secs] 
537.351: [GC (Allocation Failure) [PSYoungGen: 21893147K->774163K(22609920K)] 22481801K->1364433K(25755648K), 0.1351176 secs] [Times: user=4.77 sys=0.00, real=0.14 secs] 
540.535: [GC (Allocation Failure) [PSYoungGen: 21876755K->809188K(22609920K)] 22467025K->1400675K(25755648K), 0.1411303 secs] [Times: user=4.99 sys=0.00, real=0.14 secs] 
543.509: [GC (Allocation Failure) [PSYoungGen: 21911780K->764192K(22609920K)] 22503267K->1356575K(25755648K), 0.1353727 secs] [Times: user=4.65 sys=0.00, real=0.13 secs] 
546.600: [GC (Allocation Failure) [PSYoungGen: 21866784K->753504K(22609920K)] 22459167K->1347455K(25755648K), 0.1321979 secs] [Times: user=4.67 sys=0.01, real=0.13 secs] 
549.702: [GC (Allocation Failure) [PSYoungGen: 21856096K->789969K(22609920K)] 22450047K->1384736K(25755648K), 0.1389850 secs] [Times: user=4.90 sys=0.00, real=0.14 secs] 
552.857: [GC (Allocation Failure) [PSYoungGen: 21892561K->779077K(22609920K)] 22487328K->1374549K(25755648K), 0.1372458 secs] [Times: user=4.76 sys=0.00, real=0.14 secs] 
555.959: [GC (Allocation Failure) [PSYoungGen: 21881669K->767394K(22609920K)] 22477141K->1363673K(25755648K), 0.1348024 secs] [Times: user=4.76 sys=0.00, real=0.13 secs] 
559.035: [GC (Allocation Failure) [PSYoungGen: 21869986K->833492K(22609920K)] 22466265K->1430539K(25755648K), 0.1454504 secs] [Times: user=5.10 sys=0.00, real=0.15 secs] 
562.267: [GC (Allocation Failure) [PSYoungGen: 21936084K->718204K(22609920K)] 22533131K->1316036K(25755648K), 0.1300440 secs] [Times: user=4.54 sys=0.00, real=0.13 secs] 
565.372: [GC (Allocation Failure) [PSYoungGen: 21820796K->742145K(22609920K)] 22418628K->1340704K(25755648K), 0.1330334 secs] [Times: user=4.61 sys=0.01, real=0.13 secs] 
568.532: [GC (Allocation Failure) [PSYoungGen: 21844737K->778118K(22609920K)] 22443296K->1377390K(25755648K), 0.1374658 secs] [Times: user=4.83 sys=0.00, real=0.13 secs] 
571.682: [GC (Allocation Failure) [PSYoungGen: 21880710K->821172K(22609920K)] 22479982K->1421435K(25755648K), 0.1444355 secs] [Times: user=5.12 sys=0.00, real=0.14 secs] 
574.867: [GC (Allocation Failure) [PSYoungGen: 21923764K->713631K(22609920K)] 22524027K->1314711K(25755648K), 0.1277992 secs] [Times: user=4.51 sys=0.00, real=0.13 secs] 
577.993: [GC (Allocation Failure) [PSYoungGen: 21816223K->769260K(22609920K)] 22417303K->1371332K(25755648K), 0.1353743 secs] [Times: user=4.79 sys=0.00, real=0.13 secs] 
581.140: [GC (Allocation Failure) [PSYoungGen: 21871852K->713551K(22609920K)] 22473924K->1316591K(25755648K), 0.1271428 secs] [Times: user=4.49 sys=0.01, real=0.13 secs] 
584.188: [GC (Allocation Failure) [PSYoungGen: 21816143K->719578K(22609920K)] 22419183K->1323602K(25755648K), 0.1288405 secs] [Times: user=4.55 sys=0.00, real=0.13 secs] 
