Java HotSpot(TM) 64-Bit Server VM (25.60-b12) for linux-amd64 JRE (1.8.0_60-ea-b12), built on Apr 21 2015 19:53:00 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
363.400: [GC (Allocation Failure) [PSYoungGen: 25448448K->907232K(26355712K)] 25615303K->1098247K(29501440K), 0.0908605 secs] [Times: user=4.69 sys=0.01, real=0.09 secs] 
370.140: [GC (Allocation Failure) [PSYoungGen: 26355680K->907254K(26355712K)] 26546695K->1184261K(29501440K), 0.1025239 secs] [Times: user=4.83 sys=0.00, real=0.11 secs] 
375.638: [GC (Allocation Failure) [PSYoungGen: 26355702K->907237K(26355712K)] 26632709K->1267364K(29501440K), 0.1022576 secs] [Times: user=5.09 sys=0.01, real=0.10 secs] 
380.550: [GC (Allocation Failure) [PSYoungGen: 26355685K->907251K(26355712K)] 26715812K->1357914K(29501440K), 0.1036216 secs] [Times: user=5.15 sys=0.00, real=0.11 secs] 
385.056: [GC (Allocation Failure) [PSYoungGen: 26355699K->907251K(26355712K)] 26806362K->1443682K(29501440K), 0.0973304 secs] [Times: user=4.95 sys=0.01, real=0.10 secs] 
388.635: [GC (Allocation Failure) [PSYoungGen: 26355699K->907260K(26355712K)] 26892130K->1575563K(29501440K), 0.1123212 secs] [Times: user=5.90 sys=0.00, real=0.11 secs] 
391.989: [GC (Allocation Failure) [PSYoungGen: 26355708K->907263K(26355712K)] 27024011K->1685166K(29501440K), 0.1198240 secs] [Times: user=6.20 sys=0.00, real=0.12 secs] 
395.206: [GC (Allocation Failure) [PSYoungGen: 26355711K->907233K(26355712K)] 27133614K->1915496K(29501440K), 0.1547382 secs] [Times: user=8.07 sys=0.01, real=0.15 secs] 
398.369: [GC (Allocation Failure) [PSYoungGen: 26355681K->907243K(26355712K)] 27363944K->2098978K(29501440K), 0.1624027 secs] [Times: user=8.42 sys=0.00, real=0.16 secs] 
401.560: [GC (Allocation Failure) [PSYoungGen: 26355691K->907249K(26355712K)] 27547426K->2276168K(29501440K), 0.1388304 secs] [Times: user=7.12 sys=0.01, real=0.14 secs] 
404.540: [GC (Allocation Failure) [PSYoungGen: 26355697K->907257K(26355712K)] 27724616K->2477368K(29501440K), 0.1393133 secs] [Times: user=7.13 sys=0.00, real=0.14 secs] 
407.607: [GC (Allocation Failure) [PSYoungGen: 26355705K->907246K(26355712K)] 27925816K->2668373K(29501440K), 0.1372971 secs] [Times: user=7.16 sys=0.01, real=0.14 secs] 
