Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
1191.073: [GC (Allocation Failure) [PSYoungGen: 1557071K->5391K(1562112K)] 1651391K->99911K(2086400K), 0.0125342 secs] [Times: user=0.27 sys=0.00, real=0.01 secs] 
1223.911: [GC (Allocation Failure) [PSYoungGen: 1557263K->4960K(1563136K)] 1651783K->99959K(2087424K), 0.0099626 secs] [Times: user=0.21 sys=0.00, real=0.01 secs] 
1255.192: [GC (Allocation Failure) [PSYoungGen: 1557856K->4847K(1562624K)] 1652855K->99933K(2086912K), 0.0118083 secs] [Times: user=0.06 sys=0.01, real=0.01 secs] 
1281.526: [GC (Allocation Failure) [PSYoungGen: 1557743K->5216K(1563648K)] 1652829K->100885K(2087936K), 0.0103110 secs] [Times: user=0.23 sys=0.00, real=0.01 secs] 
1307.889: [GC (Allocation Failure) [PSYoungGen: 1559136K->5216K(1563136K)] 1654805K->100989K(2087424K), 0.0090421 secs] [Times: user=0.20 sys=0.01, real=0.01 secs] 
1330.814: [GC (Allocation Failure) [PSYoungGen: 1559136K->5615K(1564160K)] 1654909K->101484K(2088448K), 0.0091201 secs] [Times: user=0.19 sys=0.00, real=0.01 secs] 
1352.775: [GC (Allocation Failure) [PSYoungGen: 1560559K->4896K(1563648K)] 1656428K->101292K(2087936K), 0.0098421 secs] [Times: user=0.07 sys=0.01, real=0.01 secs] 
1374.799: [GC (Allocation Failure) [PSYoungGen: 1559840K->5472K(1564160K)] 1656236K->102028K(2088448K), 0.0076762 secs] [Times: user=0.13 sys=0.01, real=0.01 secs] 
1394.264: [GC (Allocation Failure) [PSYoungGen: 1560928K->5871K(1564160K)] 1657484K->102539K(2088448K), 0.0092709 secs] [Times: user=0.19 sys=0.00, real=0.01 secs] 
1413.183: [GC (Allocation Failure) [PSYoungGen: 1561327K->5056K(1564672K)] 1657995K->102339K(2088960K), 0.0088090 secs] [Times: user=0.17 sys=0.00, real=0.01 secs] 
1432.043: [GC (Allocation Failure) [PSYoungGen: 1561536K->5536K(1564672K)] 1658819K->102923K(2088960K), 0.0093952 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1449.956: [GC (Allocation Failure) [PSYoungGen: 1562016K->5647K(1565184K)] 1659403K->103097K(2089472K), 0.0075098 secs] [Times: user=0.13 sys=0.01, real=0.01 secs] 
1466.534: [GC (Allocation Failure) [PSYoungGen: 1562639K->5280K(1564672K)] 1660089K->103385K(2088960K), 0.0090483 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
1483.129: [GC (Allocation Failure) [PSYoungGen: 1562272K->5377K(1565184K)] 1660377K->103569K(2089472K), 0.0087320 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
1499.700: [GC (Allocation Failure) [PSYoungGen: 1562881K->5153K(1565184K)] 1661073K->103441K(2089472K), 0.0065608 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
1515.450: [GC (Allocation Failure) [PSYoungGen: 1562657K->6159K(1564672K)] 1660945K->104496K(2088960K), 0.0056467 secs] [Times: user=0.08 sys=0.00, real=0.00 secs] 
1530.171: [GC (Allocation Failure) [PSYoungGen: 1563663K->5665K(1565184K)] 1662000K->104792K(2089472K), 0.0092141 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
1544.952: [GC (Allocation Failure) [PSYoungGen: 1563169K->5473K(1565696K)] 1662296K->104712K(2089984K), 0.0088431 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
1559.820: [GC (Allocation Failure) [PSYoungGen: 1564001K->5601K(1565696K)] 1663240K->104896K(2089984K), 0.0058327 secs] [Times: user=0.09 sys=0.00, real=0.01 secs] 
1574.472: [GC (Allocation Failure) [PSYoungGen: 1564129K->6159K(1565696K)] 1663424K->105606K(2089984K), 0.0091829 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1587.791: [GC (Allocation Failure) [PSYoungGen: 1564687K->5601K(1565696K)] 1664134K->105870K(2089984K), 0.0072708 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1601.079: [GC (Allocation Failure) [PSYoungGen: 1564129K->5569K(1565696K)] 1664398K->105918K(2089984K), 0.0060766 secs] [Times: user=0.09 sys=0.01, real=0.00 secs] 
1614.395: [GC (Allocation Failure) [PSYoungGen: 1564097K->4993K(1565696K)] 1664446K->105422K(2089984K), 0.0107645 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
1627.710: [GC (Allocation Failure) [PSYoungGen: 1563521K->5569K(1566208K)] 1663950K->106094K(2090496K), 0.0077350 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1640.883: [GC (Allocation Failure) [PSYoungGen: 1564609K->6255K(1565696K)] 1665134K->106933K(2089984K), 0.0094486 secs] [Times: user=0.19 sys=0.00, real=0.01 secs] 
1653.012: [GC (Allocation Failure) [PSYoungGen: 1565295K->5377K(1565696K)] 1665973K->106789K(2089984K), 0.0476160 secs] [Times: user=0.47 sys=0.00, real=0.05 secs] 
1665.160: [GC (Allocation Failure) [PSYoungGen: 1563905K->5345K(1565696K)] 1665317K->106805K(2089984K), 0.0065657 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
