Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
387.567: [GC (Allocation Failure) [PSYoungGen: 22176733K->1066438K(22609920K)] 22303346K->1193051K(25755648K), 0.1617641 secs] [Times: user=5.73 sys=0.00, real=0.16 secs] 
390.722: [GC (Allocation Failure) [PSYoungGen: 22169030K->1101483K(22609920K)] 22295643K->1228096K(25755648K), 0.1740116 secs] [Times: user=5.85 sys=0.00, real=0.17 secs] 
393.934: [GC (Allocation Failure) [PSYoungGen: 22204075K->1107722K(22609920K)] 22330688K->1234335K(25755648K), 0.1703391 secs] [Times: user=5.98 sys=0.00, real=0.17 secs] 
397.142: [GC (Allocation Failure) [PSYoungGen: 22210314K->1110470K(22609920K)] 22336927K->1237084K(25755648K), 0.1685362 secs] [Times: user=5.97 sys=0.00, real=0.17 secs] 
400.208: [GC (Allocation Failure) [PSYoungGen: 22213062K->1054277K(22609920K)] 22339676K->1180891K(25755648K), 0.1610597 secs] [Times: user=5.69 sys=0.00, real=0.17 secs] 
403.285: [GC (Allocation Failure) [PSYoungGen: 22156869K->1117936K(22609920K)] 22283483K->1244549K(25755648K), 0.1692920 secs] [Times: user=6.00 sys=0.01, real=0.17 secs] 
406.374: [GC (Allocation Failure) [PSYoungGen: 22220528K->779302K(22609920K)] 22347141K->1238711K(25755648K), 0.1745431 secs] [Times: user=6.10 sys=0.01, real=0.17 secs] 
409.440: [GC (Allocation Failure) [PSYoungGen: 21881894K->748755K(22609920K)] 22341303K->1216516K(25755648K), 0.1319650 secs] [Times: user=4.64 sys=0.00, real=0.14 secs] 
412.499: [GC (Allocation Failure) [PSYoungGen: 21851347K->737602K(22609920K)] 22319108K->1207412K(25755648K), 0.1296558 secs] [Times: user=4.58 sys=0.00, real=0.13 secs] 
415.623: [GC (Allocation Failure) [PSYoungGen: 21840194K->729669K(22609920K)] 22310004K->1201023K(25755648K), 0.1283655 secs] [Times: user=4.53 sys=0.00, real=0.13 secs] 
