Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
565.037: [GC (Allocation Failure) [PSYoungGen: 21833333K->735731K(22609920K)] 22442038K->1345460K(25755648K), 0.1319383 secs] [Times: user=4.67 sys=0.00, real=0.13 secs] 
568.057: [GC (Allocation Failure) [PSYoungGen: 21838323K->746377K(22609920K)] 22448052K->1357098K(25755648K), 0.1330042 secs] [Times: user=4.71 sys=0.01, real=0.13 secs] 
571.138: [GC (Allocation Failure) [PSYoungGen: 21848969K->719584K(22609920K)] 22459690K->1331362K(25755648K), 0.1303954 secs] [Times: user=4.57 sys=0.00, real=0.13 secs] 
574.129: [GC (Allocation Failure) [PSYoungGen: 21822176K->738280K(22609920K)] 22433954K->1351361K(25755648K), 0.1350562 secs] [Times: user=4.65 sys=0.01, real=0.13 secs] 
577.149: [GC (Allocation Failure) [PSYoungGen: 21840872K->745881K(22609920K)] 22453953K->1359915K(25755648K), 0.1331276 secs] [Times: user=4.71 sys=0.00, real=0.13 secs] 
580.193: [GC (Allocation Failure) [PSYoungGen: 21848473K->755508K(22609920K)] 22462507K->1370510K(25755648K), 0.1352338 secs] [Times: user=4.77 sys=0.01, real=0.14 secs] 
583.217: [GC (Allocation Failure) [PSYoungGen: 21858100K->749771K(22609920K)] 22473102K->1365693K(25755648K), 0.1350475 secs] [Times: user=4.73 sys=0.00, real=0.13 secs] 
586.215: [GC (Allocation Failure) [PSYoungGen: 21852363K->775532K(22609920K)] 22468285K->1392358K(25755648K), 0.1416053 secs] [Times: user=4.79 sys=0.00, real=0.14 secs] 
589.269: [GC (Allocation Failure) [PSYoungGen: 21878124K->727082K(22609920K)] 22494950K->1344780K(25755648K), 0.1321068 secs] [Times: user=4.60 sys=0.00, real=0.13 secs] 
592.304: [GC (Allocation Failure) [PSYoungGen: 21829674K->780877K(22609920K)] 22447372K->1399495K(25755648K), 0.1398724 secs] [Times: user=4.95 sys=0.01, real=0.14 secs] 
595.329: [GC (Allocation Failure) [PSYoungGen: 21883469K->767504K(22609920K)] 22502087K->1386986K(25755648K), 0.1376825 secs] [Times: user=4.88 sys=0.00, real=0.13 secs] 
598.433: [GC (Allocation Failure) [PSYoungGen: 21870096K->782491K(22609920K)] 22489578K->1402757K(25755648K), 0.1410055 secs] [Times: user=4.99 sys=0.00, real=0.14 secs] 
601.403: [GC (Allocation Failure) [PSYoungGen: 21885083K->836988K(22609920K)] 22505349K->1458014K(25755648K), 0.1479560 secs] [Times: user=5.23 sys=0.00, real=0.15 secs] 
604.534: [GC (Allocation Failure) [PSYoungGen: 21939580K->735856K(22609920K)] 22560606K->1357610K(25755648K), 0.1321992 secs] [Times: user=4.67 sys=0.01, real=0.13 secs] 
607.602: [GC (Allocation Failure) [PSYoungGen: 21838448K->707667K(22609920K)] 22460202K->1330173K(25755648K), 0.1268278 secs] [Times: user=4.49 sys=0.00, real=0.12 secs] 
610.608: [GC (Allocation Failure) [PSYoungGen: 21810259K->806742K(22609920K)] 22432765K->1429927K(25755648K), 0.1425259 secs] [Times: user=5.04 sys=0.00, real=0.15 secs] 
613.684: [GC (Allocation Failure) [PSYoungGen: 21909334K->722814K(22609920K)] 22532519K->1346664K(25755648K), 0.1307485 secs] [Times: user=4.61 sys=0.00, real=0.13 secs] 
616.705: [GC (Allocation Failure) [PSYoungGen: 21825406K->736380K(22609920K)] 22449256K->1360950K(25755648K), 0.1323719 secs] [Times: user=4.64 sys=0.00, real=0.13 secs] 
619.656: [GC (Allocation Failure) [PSYoungGen: 21838972K->930063K(22609920K)] 22463542K->1555312K(25755648K), 0.1598490 secs] [Times: user=5.67 sys=0.00, real=0.16 secs] 
622.683: [GC (Allocation Failure) [PSYoungGen: 22032655K->819277K(22609920K)] 22657904K->1445255K(25755648K), 0.1485374 secs] [Times: user=5.11 sys=0.00, real=0.14 secs] 
625.738: [GC (Allocation Failure) [PSYoungGen: 21921869K->729955K(22609920K)] 22547847K->1356645K(25755648K), 0.1305043 secs] [Times: user=4.60 sys=0.01, real=0.13 secs] 
628.744: [GC (Allocation Failure) [PSYoungGen: 21832547K->789069K(22609920K)] 22459237K->1416479K(25755648K), 0.1413922 secs] [Times: user=4.97 sys=0.00, real=0.14 secs] 
631.793: [GC (Allocation Failure) [PSYoungGen: 21891661K->716777K(22609920K)] 22519071K->1344923K(25755648K), 0.1290825 secs] [Times: user=4.56 sys=0.00, real=0.13 secs] 
634.830: [GC (Allocation Failure) [PSYoungGen: 21819369K->741374K(22609920K)] 22447515K->1370216K(25755648K), 0.1334738 secs] [Times: user=4.69 sys=0.00, real=0.13 secs] 
637.928: [GC (Allocation Failure) [PSYoungGen: 21843966K->742372K(22609920K)] 22472808K->1371862K(25755648K), 0.1332055 secs] [Times: user=4.71 sys=0.01, real=0.13 secs] 
640.931: [GC (Allocation Failure) [PSYoungGen: 21844964K->890028K(22609920K)] 22474454K->1520181K(25755648K), 0.1522605 secs] [Times: user=5.40 sys=0.00, real=0.15 secs] 
643.999: [GC (Allocation Failure) [PSYoungGen: 21992620K->729913K(22609920K)] 22622773K->1360747K(25755648K), 0.1319695 secs] [Times: user=4.59 sys=0.00, real=0.13 secs] 
647.122: [GC (Allocation Failure) [PSYoungGen: 21832505K->756319K(22609920K)] 22463339K->1387961K(25755648K), 0.1362284 secs] [Times: user=4.79 sys=0.00, real=0.14 secs] 
650.199: [GC (Allocation Failure) [PSYoungGen: 21858911K->842642K(22609920K)] 22490553K->1474916K(25755648K), 0.1488885 secs] [Times: user=5.27 sys=0.00, real=0.15 secs] 
653.186: [GC (Allocation Failure) [PSYoungGen: 21945234K->743121K(22609920K)] 22577508K->1376043K(25755648K), 0.1328043 secs] [Times: user=4.69 sys=0.00, real=0.14 secs] 
656.229: [GC (Allocation Failure) [PSYoungGen: 21845713K->806474K(22609920K)] 22478635K->1440036K(25755648K), 0.1417049 secs] [Times: user=5.02 sys=0.00, real=0.14 secs] 
659.275: [GC (Allocation Failure) [PSYoungGen: 21909066K->756636K(22609920K)] 22542628K->1390846K(25755648K), 0.1360745 secs] [Times: user=4.75 sys=0.00, real=0.14 secs] 
662.345: [GC (Allocation Failure) [PSYoungGen: 21859228K->759054K(22609920K)] 22493438K->1393904K(25755648K), 0.1360879 secs] [Times: user=4.81 sys=0.00, real=0.14 secs] 
665.375: [GC (System.gc()) [PSYoungGen: 18582248K->672197K(22609920K)] 19217098K->1307903K(25755648K), 0.1244391 secs] [Times: user=4.40 sys=0.01, real=0.13 secs] 
665.499: [Full GC (System.gc()) [PSYoungGen: 672197K->0K(22609920K)] [ParOldGen: 635706K->235370K(3145728K)] 1307903K->235370K(25755648K), [Metaspace: 22318K->22318K(1069056K)], 0.1123965 secs] [Times: user=2.60 sys=0.01, real=0.11 secs] 
686.186: [GC (Allocation Failure) [PSYoungGen: 21102592K->957407K(22609920K)] 21337962K->1192785K(25755648K), 0.1561140 secs] [Times: user=5.51 sys=0.00, real=0.16 secs] 
692.799: [GC (Allocation Failure) [PSYoungGen: 22059999K->939499K(22609920K)] 22295377K->1174877K(25755648K), 0.1456362 secs] [Times: user=5.01 sys=0.01, real=0.15 secs] 
698.047: [GC (Allocation Failure) [PSYoungGen: 22042091K->974512K(22609920K)] 22277469K->1209890K(25755648K), 0.1500742 secs] [Times: user=5.22 sys=0.00, real=0.15 secs] 
702.519: [GC (Allocation Failure) [PSYoungGen: 22077104K->1010713K(22609920K)] 22312482K->1246091K(25755648K), 0.1549152 secs] [Times: user=5.36 sys=0.01, real=0.15 secs] 
706.433: [GC (Allocation Failure) [PSYoungGen: 22113305K->1011908K(22609920K)] 22348683K->1247286K(25755648K), 0.1516874 secs] [Times: user=5.32 sys=0.00, real=0.15 secs] 
709.925: [GC (Allocation Failure) [PSYoungGen: 22114500K->1041986K(22609920K)] 22349878K->1277364K(25755648K), 0.1564847 secs] [Times: user=5.55 sys=0.00, real=0.16 secs] 
713.138: [GC (Allocation Failure) [PSYoungGen: 22144578K->1072762K(22609920K)] 22379956K->1308140K(25755648K), 0.1619127 secs] [Times: user=5.73 sys=0.00, real=0.16 secs] 
716.312: [GC (Allocation Failure) [PSYoungGen: 22175354K->1146977K(22609920K)] 22410732K->1382355K(25755648K), 0.1737018 secs] [Times: user=6.16 sys=0.00, real=0.17 secs] 
719.467: [GC (Allocation Failure) [PSYoungGen: 22249569K->1151030K(22609920K)] 22484947K->1386408K(25755648K), 0.1759205 secs] [Times: user=6.15 sys=0.01, real=0.17 secs] 
722.549: [GC (Allocation Failure) [PSYoungGen: 22253622K->1119884K(22609920K)] 22489000K->1355262K(25755648K), 0.1704661 secs] [Times: user=6.02 sys=0.00, real=0.17 secs] 
725.726: [GC (Allocation Failure) [PSYoungGen: 22222476K->1130491K(22609920K)] 22457854K->1365869K(25755648K), 0.1721562 secs] [Times: user=6.04 sys=0.00, real=0.18 secs] 
728.862: [GC (Allocation Failure) [PSYoungGen: 22233083K->1081097K(22609920K)] 22468461K->1316475K(25755648K), 0.1625573 secs] [Times: user=5.75 sys=0.00, real=0.16 secs] 
731.969: [GC (Allocation Failure) [PSYoungGen: 22183689K->1227372K(22609920K)] 22419067K->1462750K(25755648K), 0.1976244 secs] [Times: user=6.88 sys=0.00, real=0.19 secs] 
735.088: [GC (Allocation Failure) [PSYoungGen: 22329964K->1068413K(22609920K)] 22565342K->1303791K(25755648K), 0.1613414 secs] [Times: user=5.69 sys=0.01, real=0.17 secs] 
738.203: [GC (Allocation Failure) [PSYoungGen: 22171005K->1133791K(22609920K)] 22406383K->1369169K(25755648K), 0.1708187 secs] [Times: user=6.05 sys=0.00, real=0.17 secs] 
