Java HotSpot(TM) 64-Bit Server VM (25.40-b25) for linux-amd64 JRE (1.8.0_40-b26), built on Mar  7 2015 15:08:31 by "java_re" with gcc 4.3.0 20080428 (Red Hat 4.3.0-8)
930.740: [GC (Allocation Failure) [PSYoungGen: 1555905K->6017K(1562112K)] 1648327K->98591K(2086400K), 0.0060407 secs] [Times: user=0.09 sys=0.00, real=0.00 secs] 
1035.681: [GC (Allocation Failure) [PSYoungGen: 1557377K->5935K(1562112K)] 1649951K->98605K(2086400K), 0.0145695 secs] [Times: user=0.34 sys=0.01, real=0.02 secs] 
1115.918: [GC (Allocation Failure) [PSYoungGen: 1557295K->4495K(1562624K)] 1649965K->99029K(2086912K), 0.0122701 secs] [Times: user=0.30 sys=0.00, real=0.01 secs] 
1166.739: [GC (Allocation Failure) [PSYoungGen: 1556879K->4559K(1562624K)] 1651413K->99349K(2086912K), 0.0139311 secs] [Times: user=0.32 sys=0.00, real=0.01 secs] 
1208.610: [GC (Allocation Failure) [PSYoungGen: 1556943K->5231K(1563136K)] 1651733K->100245K(2087424K), 0.0096785 secs] [Times: user=0.19 sys=0.00, real=0.01 secs] 
1241.439: [GC (Allocation Failure) [PSYoungGen: 1558127K->4928K(1562624K)] 1653141K->100429K(2086912K), 0.0066145 secs] [Times: user=0.14 sys=0.00, real=0.00 secs] 
1273.024: [GC (Allocation Failure) [PSYoungGen: 1557824K->5359K(1563648K)] 1653325K->100964K(2087936K), 0.0118951 secs] [Times: user=0.23 sys=0.00, real=0.01 secs] 
1299.444: [GC (Allocation Failure) [PSYoungGen: 1559279K->4896K(1563136K)] 1654884K->101052K(2087424K), 0.0106110 secs] [Times: user=0.22 sys=0.00, real=0.01 secs] 
1325.809: [GC (Allocation Failure) [PSYoungGen: 1558816K->5056K(1563648K)] 1654972K->101284K(2087936K), 0.0089503 secs] [Times: user=0.19 sys=0.00, real=0.01 secs] 
1348.995: [GC (Allocation Failure) [PSYoungGen: 1559488K->5391K(1563648K)] 1655716K->101715K(2087936K), 0.0098675 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
1371.006: [GC (Allocation Failure) [PSYoungGen: 1559823K->5280K(1564160K)] 1656147K->102203K(2088448K), 0.0066820 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
1393.007: [GC (Allocation Failure) [PSYoungGen: 1560704K->5376K(1564160K)] 1657626K->102491K(2088448K), 0.0073164 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
1412.511: [GC (Allocation Failure) [PSYoungGen: 1560832K->6223K(1564672K)] 1657947K->103489K(2088960K), 0.0101476 secs] [Times: user=0.21 sys=0.01, real=0.01 secs] 
1431.429: [GC (Allocation Failure) [PSYoungGen: 1562703K->5825K(1564672K)] 1659969K->103753K(2088960K), 0.0092351 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1450.367: [GC (Allocation Failure) [PSYoungGen: 1562305K->5857K(1564672K)] 1660233K->103913K(2088960K), 0.0071202 secs] [Times: user=0.16 sys=0.00, real=0.01 secs] 
1468.526: [GC (Allocation Failure) [PSYoungGen: 1562337K->6031K(1564672K)] 1660393K->104200K(2088960K), 0.0072013 secs] [Times: user=0.12 sys=0.00, real=0.01 secs] 
1485.120: [GC (Allocation Failure) [PSYoungGen: 1562511K->5921K(1565184K)] 1660680K->104744K(2089472K), 0.0090634 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1501.828: [GC (Allocation Failure) [PSYoungGen: 1563376K->5665K(1565184K)] 1662199K->104592K(2089472K), 0.0071644 secs] [Times: user=0.17 sys=0.00, real=0.00 secs] 
1518.293: [GC (Allocation Failure) [PSYoungGen: 1563169K->5729K(1565184K)] 1662096K->104752K(2089472K), 0.0079335 secs] [Times: user=0.18 sys=0.01, real=0.01 secs] 
1534.086: [GC (Allocation Failure) [PSYoungGen: 1563233K->6223K(1565184K)] 1662256K->105358K(2089472K), 0.0090457 secs] [Times: user=0.18 sys=0.01, real=0.01 secs] 
1548.789: [GC (Allocation Failure) [PSYoungGen: 1563727K->5825K(1565696K)] 1662862K->105862K(2089984K), 0.0072356 secs] [Times: user=0.17 sys=0.01, real=0.01 secs] 
1563.576: [GC (Allocation Failure) [PSYoungGen: 1563841K->5857K(1565184K)] 1663878K->105990K(2089472K), 0.0063505 secs] [Times: user=0.14 sys=0.00, real=0.00 secs] 
1578.362: [GC (Allocation Failure) [PSYoungGen: 1563873K->5921K(1565696K)] 1664006K->106198K(2089984K), 0.0083882 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1593.059: [GC (Allocation Failure) [PSYoungGen: 1564449K->6415K(1565696K)] 1664726K->106805K(2089984K), 0.0083811 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
1606.389: [GC (Allocation Failure) [PSYoungGen: 1564943K->5921K(1565696K)] 1665333K->107037K(2089984K), 0.0075917 secs] [Times: user=0.17 sys=0.01, real=0.01 secs] 
1619.741: [GC (Allocation Failure) [PSYoungGen: 1564449K->5889K(1565696K)] 1665565K->107117K(2089984K), 0.0085049 secs] [Times: user=0.18 sys=0.00, real=0.01 secs] 
1633.117: [GC (Allocation Failure) [PSYoungGen: 1564417K->5249K(1565696K)] 1665645K->106501K(2089984K), 0.0069711 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
1646.474: [GC (Allocation Failure) [PSYoungGen: 1563777K->5761K(1565696K)] 1665029K->107125K(2089984K), 0.0083568 secs] [Times: user=0.17 sys=0.00, real=0.01 secs] 
1659.563: [GC (Allocation Failure) [PSYoungGen: 1564289K->6479K(1565696K)] 1665653K->108020K(2089984K), 0.0082131 secs] [Times: user=0.20 sys=0.00, real=0.01 secs] 
1671.652: [GC (Allocation Failure) [PSYoungGen: 1565007K->4897K(1565696K)] 1666548K->107116K(2089984K), 0.0118460 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
1683.793: [GC (Allocation Failure) [PSYoungGen: 1563425K->5825K(1565696K)] 1665644K->108132K(2089984K), 0.0060832 secs] [Times: user=0.14 sys=0.00, real=0.01 secs] 
1695.897: [GC (Allocation Failure) [PSYoungGen: 1564353K->5505K(1565696K)] 1666660K->107876K(2089984K), 0.0052003 secs] [Times: user=0.06 sys=0.00, real=0.00 secs] 
1707.985: [GC (Allocation Failure) [PSYoungGen: 1564033K->5793K(1565696K)] 1666404K->108356K(2089984K), 0.0076894 secs] [Times: user=0.13 sys=0.01, real=0.01 secs] 
1720.107: [GC (Allocation Failure) [PSYoungGen: 1564321K->5921K(1565696K)] 1666884K->108588K(2089984K), 0.0065330 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
1731.361: [GC (Allocation Failure) [PSYoungGen: 1564449K->5999K(1565696K)] 1667116K->108802K(2089984K), 0.0084030 secs] [Times: user=0.18 sys=0.01, real=0.00 secs] 
1742.532: [GC (Allocation Failure) [PSYoungGen: 1564527K->5761K(1565696K)] 1667330K->109458K(2089984K), 0.0076322 secs] [Times: user=0.12 sys=0.00, real=0.00 secs] 
1753.695: [GC (Allocation Failure) [PSYoungGen: 1564289K->5697K(1566208K)] 1667986K->109490K(2090496K), 0.0084220 secs] [Times: user=0.18 sys=0.00, real=0.00 secs] 
1764.766: [GC (Allocation Failure) [PSYoungGen: 1565249K->5857K(1566208K)] 1669042K->109722K(2090496K), 0.0084707 secs] [Times: user=0.18 sys=0.00, real=0.00 secs] 
1775.866: [GC (Allocation Failure) [PSYoungGen: 1565409K->4737K(1566208K)] 1669274K->108682K(2090496K), 0.0095499 secs] [Times: user=0.07 sys=0.00, real=0.01 secs] 
1786.983: [GC (Allocation Failure) [PSYoungGen: 1564289K->5985K(1566208K)] 1668234K->110018K(2090496K), 0.0077717 secs] [Times: user=0.19 sys=0.00, real=0.01 secs] 
1797.219: [GC (Allocation Failure) [PSYoungGen: 1565537K->6511K(1565184K)] 1669570K->110657K(2089472K), 0.0074334 secs] [Times: user=0.17 sys=0.00, real=0.01 secs] 
1807.511: [GC (Allocation Failure) [PSYoungGen: 1565039K->5505K(1565696K)] 1669185K->110473K(2089984K), 0.0060345 secs] [Times: user=0.08 sys=0.01, real=0.01 secs] 
1817.792: [GC (Allocation Failure) [PSYoungGen: 1564033K->5697K(1565696K)] 1669001K->110881K(2089984K), 0.0073097 secs] [Times: user=0.14 sys=0.00, real=0.01 secs] 
1828.043: [GC (Allocation Failure) [PSYoungGen: 1564225K->5825K(1565696K)] 1669409K->111073K(2089984K), 0.0059963 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
1838.327: [GC (Allocation Failure) [PSYoungGen: 1564353K->5633K(1566208K)] 1669601K->111065K(2090496K), 0.0064238 secs] [Times: user=0.15 sys=0.00, real=0.01 secs] 
