Request Mix Accuracy
===================================
Domain Marker;max-jOPS;81875.0
Domain Marker;critical-jOPS;18129.0
Domain Marker;Validation Start jOPS;9864.5
Range Marker;Main Tx Limit;-5.0
Range Marker;Main Tx Limit;5.0
Range Marker;Minor Tx Limit;-1.0
Range Marker;Minor Tx Limit;1.0
jOPS;In-store Purchase [50%];Online Purchase [35%];Installment Purchase [10%];Associativity of Category [0.1%];Associativity of Product [1%];Business Report [0.25%];Customer Buying Behavior [1%];Product Return [2.65%]
10851.0;-0.012571064609176119;0.015062421049904628;-0.0034894227824260327;-6.50495452322139E-4;5.043663497743545E-4;-0.0010167324679361545;-4.098928945295288E-4;0.002570820806711893
11837.0;-0.0018893564851794054;0.007956290087591356;-0.0075434307075017415;6.25726877425542E-4;7.991278170655924E-4;9.481770508962262E-5;-0.0011602048342334026;0.0011170295397389118
12824.0;-0.008203572623578737;7.040861543075039E-4;0.007325079807197099;2.51533163749762E-4;7.066699567084278E-4;1.120724291489017E-4;6.0719356426597315E-5;-9.565882439570572E-4
13810.0;0.05175549363000442;-0.030178724179158678;-0.013226403927665942;-3.2275300888709446E-4;-8.314424208153426E-4;-6.870781388149394E-4;-7.116380374125875E-4;-0.005797453917243622
14797.0;-0.029414500172002533;0.0028069837307000967;0.01852273096545609;-8.311137058124168E-4;6.532820419153929E-4;-1.168175863974219E-4;0.00255822110067383;0.005821213625468946
15783.0;-0.0269580156387903;0.040185764283300784;-0.014646316069384824;-1.9786660022252933E-5;-0.0019776190889970735;0.0010497922400697357;-0.002396384380473404;0.004762565314298861
16770.0;0.06599307762164841;-0.09054841232475042;0.007800972757664226;-5.17897913633783E-4;-2.541225974088679E-4;-5.067677378557678E-4;0.007034665080206226;0.010998485114128709
17756.0;-0.2990171144754967;0.22997576446652346;0.06466548979713949;4.6376638142525684E-5;-0.0027152773622165505;6.769493148225392E-4;0.0012117766740471492;0.005156034947041199
18743.0;-0.06617993530249322;-0.048081928995102885;0.08361614225685976;5.935016597927723E-4;0.005493817029244452;-1.9280421151460225E-4;0.0012583011698847901;0.023492906393334678
19729.0;-0.2513344391656318;0.3249524360398226;-0.0880322098178059;1.3022814727130239E-4;0.001974860671015488;0.0010401857663746017;0.0023952226699544;0.008873715689002637
20715.0;-0.06246121102954305;0.0495940420141352;0.003765222427324133;-4.449663283816463E-4;0.004644306138110288;4.387441387754265E-6;0.003367959552576849;0.0015302597843933619
21702.0;-0.09806506277840299;0.1816603855244736;-0.07988454686626056;-7.157911419893859E-4;-0.0041100462208757405;-6.084300903539952E-4;0.002138077437111141;-4.145858636963595E-4
